------------ Options -------------
ap_iou_threshold: 0.25
batch_size: 8
bn_decay_rate: 0.5
bn_decay_step: 20
cluster_sampling: vote_fps
conf_thresh: 0.05
consistency_ramp_len: 30
consistency_weight: 10.0
dataset: scannet
distillation_ramp_len: 30
distillation_weight: 1.0
ema_decay: 0.999
faster_eval: False
ft_layers: all
log_dir: /home/peisheng/SDCoT/log_scannet/log_SDCoT_20240903-20:56
lr: 0.001
lr_decay_rate: 0.1
lr_decay_steps: [80, 120]
method: SDCoT
model_checkpoint_path: log_scannet/log_basetrain_20240517-22:53
model_name: None
n_epochs: 150
n_novel_class: 9
nms_iou: 0.25
no_height: False
num_input_channel: 1
num_point: 40000
num_target: 128
pc_augm: True
per_class_proposal: False
phase: train
pseudo_cls_conf_thresh: 0.9
pseudo_obj_conf_thresh: 0.95
use_3d_nms: False
use_cls_nms: False
use_color: False
use_old_type_nms: False
vote_factor: 1
-------------- End ----------------

------------ Classifier Weights Base:------------  
train mean center_loss: 2.984573
train mean class_consistency_loss: 1.554702
train mean consistency_loss: 13.798488
train mean detection_loss: 24.334294
train mean distillation_loss: 55.279660
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.000104
train mean neg_ratio: 15.184570
train mean obj_acc: 17.538559
train mean objectness_loss: 6.132934
train mean pos_ratio: 1.363281
train mean sem_cls_loss: 62.745183
train mean size_consistency_loss: 3.948708
train mean size_reg_loss: 5.734113
train mean supervised_loss: 357.458814
train mean vote_loss: 11.411588
 ---- batch: 100 ----
train mean box_loss: 9.728498
train mean center_consistency_loss: 7.677731
train mean center_loss: 3.005182
train mean class_consistency_loss: 1.722376
train mean consistency_loss: 13.650938
train mean detection_loss: 23.931659
train mean distillation_loss: 56.938370
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.000042
train mean neg_ratio: 14.982422
train mean obj_acc: 17.882969
train mean objectness_loss: 5.549351
train mean pos_ratio: 1.364258
train mean sem_cls_loss: 57.142426
train mean size_consistency_loss: 4.250832
train mean size_reg_loss: 6.723274
train mean supervised_loss: 354.999961
train mean vote_loss: 11.568337
 ---- batch: 120 ----
train mean box_loss: 8.928379
train mean center_consistency_loss: 5.704263
train mean center_loss: 2.848201
train mean class_consistency_loss: 1.657651
train mean consistency_loss: 11.464890
train mean detection_loss: 21.972328
train mean distillation_loss: 55.144794
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.000012
train mean neg_ratio: 14.896484
train mean obj_acc: 17.654348
train mean objectness_loss: 5.860489
train mean pos_ratio: 1.420898
train mean sem_cls_loss: 50.568525
train mean size_consistency_loss: 4.102976
train mean size_reg_loss: 6.080166
train mean supervised_loss: 326.240337
train mean vote_loss: 10.651706
 ---- batch: 140 ----
train mean box_loss: 9.311742
train mean center_consistency_loss: 4.643789
train mean center_loss: 2.939703
train mean class_consistency_loss: 1.571860
train mean consistency_loss: 9.856644
train mean detection_loss: 23.349531
train mean distillation_loss: 55.232482
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.000007
train mean neg_ratio: 14.547852
train mean obj_acc: 17.755160
train mean objectness_loss: 6.509932
train mean pos_ratio: 1.528320
train mean sem_cls_loss: 53.914112
train mean size_consistency_loss: 3.640996
train mean size_reg_loss: 6.372032
train mean supervised_loss: 339.230853
train mean vote_loss: 10.573555

**** EPOCH 001, STEP 147 ****
2024-09-03 20:59:27.374574
Current consistency weight: 0.093515
Current distillation weight: 0.009351
 ---- batch: 020 ----
train mean box_loss: 10.811923
train mean center_consistency_loss: 4.412981
train mean center_loss: 2.861790
train mean class_consistency_loss: 1.632241
train mean consistency_loss: 9.601947
train mean detection_loss: 23.517915
train mean distillation_loss: 56.359149
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.000004
train mean neg_ratio: 14.859375
train mean obj_acc: 17.793982
train mean objectness_loss: 5.997295
train mean pos_ratio: 1.423828
train mean sem_cls_loss: 48.536718
train mean size_consistency_loss: 3.556725
train mean size_reg_loss: 7.950130
train mean supervised_loss: 360.847982
train mean vote_loss: 12.566883
 ---- batch: 040 ----
train mean box_loss: 9.868401
train mean center_consistency_loss: 5.362860
train mean center_loss: 2.882851
train mean class_consistency_loss: 1.630103
train mean consistency_loss: 10.835846
train mean detection_loss: 22.874331
train mean distillation_loss: 57.521724
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.000003
train mean neg_ratio: 14.850586
train mean obj_acc: 17.671210
train mean objectness_loss: 6.172954
train mean pos_ratio: 1.416992
train mean sem_cls_loss: 49.597265
train mean size_consistency_loss: 3.842882
train mean size_reg_loss: 6.985546
train mean supervised_loss: 338.905687
train mean vote_loss: 11.016238
 ---- batch: 060 ----
train mean box_loss: 8.115857
train mean center_consistency_loss: 10.088277
train mean center_loss: 2.954215
train mean class_consistency_loss: 1.685781
train mean consistency_loss: 15.264636
train mean detection_loss: 20.116254
train mean distillation_loss: 57.878633
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.000004
train mean neg_ratio: 14.896484
train mean obj_acc: 17.671229
train mean objectness_loss: 5.794324
train mean pos_ratio: 1.400391
train mean sem_cls_loss: 45.516175
train mean size_consistency_loss: 3.490578
train mean size_reg_loss: 5.161638
train mean supervised_loss: 298.601289
train mean vote_loss: 9.743875
 ---- batch: 080 ----
train mean box_loss: 7.967967
train mean center_consistency_loss: 4.280424
train mean center_loss: 2.742447
train mean class_consistency_loss: 1.578436
train mean consistency_loss: 9.029666
train mean detection_loss: 19.611571
train mean distillation_loss: 56.297707
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.000002
train mean neg_ratio: 14.056641
train mean obj_acc: 17.573603
train mean objectness_loss: 6.062461
train mean pos_ratio: 1.711914
train mean sem_cls_loss: 43.061867
train mean size_consistency_loss: 3.170806
train mean size_reg_loss: 5.225518
train mean supervised_loss: 306.945668
train mean vote_loss: 11.082996
 ---- batch: 100 ----
train mean box_loss: 8.343533
train mean center_consistency_loss: 5.151638
train mean center_loss: 2.664142
train mean class_consistency_loss: 1.548441
train mean consistency_loss: 9.902156
train mean detection_loss: 19.313841
train mean distillation_loss: 56.062595
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.000002
train mean neg_ratio: 14.531250
train mean obj_acc: 17.471694
train mean objectness_loss: 5.788124
train mean pos_ratio: 1.594727
train mean sem_cls_loss: 40.381229
train mean size_consistency_loss: 3.202077
train mean size_reg_loss: 5.679390
train mean supervised_loss: 296.942770
train mean vote_loss: 10.380436
 ---- batch: 120 ----
train mean box_loss: 7.753319
train mean center_consistency_loss: 5.475430
train mean center_loss: 2.728718
train mean class_consistency_loss: 1.512414
train mean consistency_loss: 10.225931
train mean detection_loss: 18.227078
train mean distillation_loss: 57.836061
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.000002
train mean neg_ratio: 14.517578
train mean obj_acc: 17.909695
train mean objectness_loss: 5.679908
train mean pos_ratio: 1.572266
train mean sem_cls_loss: 38.169023
train mean size_consistency_loss: 3.238087
train mean size_reg_loss: 5.024599
train mean supervised_loss: 286.700457
train mean vote_loss: 10.442968
 ---- batch: 140 ----
train mean box_loss: 8.252429
train mean center_consistency_loss: 13.610295
train mean center_loss: 2.615883
train mean class_consistency_loss: 1.611117
train mean consistency_loss: 18.446234
train mean detection_loss: 17.501733
train mean distillation_loss: 57.980511
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.000002
train mean neg_ratio: 14.732422
train mean obj_acc: 18.028637
train mean objectness_loss: 5.153569
train mean pos_ratio: 1.456055
train mean sem_cls_loss: 33.362601
train mean size_consistency_loss: 3.224822
train mean size_reg_loss: 5.636544
train mean supervised_loss: 276.788058
train mean vote_loss: 10.177072

**** EPOCH 002, STEP 294 ****
2024-09-03 21:02:35.715779
Current consistency weight: 0.128353
Current distillation weight: 0.012835
 ---- batch: 020 ----
train mean box_loss: 8.360963
train mean center_consistency_loss: 4.630795
train mean center_loss: 2.614861
train mean class_consistency_loss: 1.651703
train mean consistency_loss: 9.358370
train mean detection_loss: 19.181152
train mean distillation_loss: 57.914452
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.000002
train mean neg_ratio: 14.751953
train mean obj_acc: 17.594024
train mean objectness_loss: 5.843388
train mean pos_ratio: 1.525391
train mean sem_cls_loss: 39.492476
train mean size_consistency_loss: 3.075872
train mean size_reg_loss: 5.746099
train mean supervised_loss: 308.142996
train mean vote_loss: 11.633148
 ---- batch: 040 ----
train mean box_loss: 10.065622
train mean center_consistency_loss: 7.663296
train mean center_loss: 2.954203
train mean class_consistency_loss: 1.763466
train mean consistency_loss: 12.814676
train mean detection_loss: 21.441565
train mean distillation_loss: 57.257788
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.000004
train mean neg_ratio: 14.626953
train mean obj_acc: 17.602890
train mean objectness_loss: 5.918764
train mean pos_ratio: 1.496094
train mean sem_cls_loss: 42.082807
train mean size_consistency_loss: 3.387914
train mean size_reg_loss: 7.111415
train mean supervised_loss: 323.579021
train mean vote_loss: 10.916337
 ---- batch: 060 ----
train mean box_loss: 8.567812
train mean center_consistency_loss: 4.517781
train mean center_loss: 2.955233
train mean class_consistency_loss: 1.606961
train mean consistency_loss: 9.490836
train mean detection_loss: 19.353539
train mean distillation_loss: 58.355176
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.000005
train mean neg_ratio: 14.904297
train mean obj_acc: 17.873714
train mean objectness_loss: 5.485917
train mean pos_ratio: 1.452148
train mean sem_cls_loss: 40.213838
train mean size_consistency_loss: 3.366094
train mean size_reg_loss: 5.612575
train mean supervised_loss: 297.067333
train mean vote_loss: 10.353195
 ---- batch: 080 ----
train mean box_loss: 8.203161
train mean center_consistency_loss: 7.638756
train mean center_loss: 2.732065
train mean class_consistency_loss: 1.661364
train mean consistency_loss: 12.654362
train mean detection_loss: 17.774286
train mean distillation_loss: 56.372213
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.000003
train mean neg_ratio: 14.605469
train mean obj_acc: 17.852026
train mean objectness_loss: 5.124380
train mean pos_ratio: 1.460938
train mean sem_cls_loss: 35.044674
train mean size_consistency_loss: 3.354242
train mean size_reg_loss: 5.471093
train mean supervised_loss: 274.735406
train mean vote_loss: 9.699255
 ---- batch: 100 ----
train mean box_loss: 8.260580
train mean center_consistency_loss: 4.467677
train mean center_loss: 2.710836
train mean class_consistency_loss: 1.491583
train mean consistency_loss: 9.173997
train mean detection_loss: 18.297407
train mean distillation_loss: 57.535923
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.000004
train mean neg_ratio: 14.501953
train mean obj_acc: 17.842712
train mean objectness_loss: 5.621508
train mean pos_ratio: 1.542969
train mean sem_cls_loss: 36.130364
train mean size_consistency_loss: 3.214737
train mean size_reg_loss: 5.549740
train mean supervised_loss: 280.297474
train mean vote_loss: 9.732341
 ---- batch: 120 ----
train mean box_loss: 8.337133
train mean center_consistency_loss: 3.803134
train mean center_loss: 2.499949
train mean class_consistency_loss: 1.406454
train mean consistency_loss: 8.291747
train mean detection_loss: 18.229754
train mean distillation_loss: 58.492654
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.000010
train mean neg_ratio: 14.644531
train mean obj_acc: 17.799005
train mean objectness_loss: 5.623634
train mean pos_ratio: 1.508789
train mean sem_cls_loss: 35.404017
train mean size_consistency_loss: 3.082160
train mean size_reg_loss: 5.837175
train mean supervised_loss: 294.012526
train mean vote_loss: 11.171498
 ---- batch: 140 ----
train mean box_loss: 8.243923
train mean center_consistency_loss: 3.856465
train mean center_loss: 2.667521
train mean class_consistency_loss: 1.390564
train mean consistency_loss: 8.420304
train mean detection_loss: 19.143034
train mean distillation_loss: 58.482651
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.000036
train mean neg_ratio: 14.341797
train mean obj_acc: 17.815197
train mean objectness_loss: 5.953382
train mean pos_ratio: 1.588867
train mean sem_cls_loss: 39.612103
train mean size_consistency_loss: 3.173274
train mean size_reg_loss: 5.576366
train mean supervised_loss: 289.445204
train mean vote_loss: 9.801486

**** EPOCH 003, STEP 441 ****
2024-09-03 21:05:43.252401
Current consistency weight: 0.174224
Current distillation weight: 0.017422
 ---- batch: 020 ----
train mean box_loss: 7.742250
train mean center_consistency_loss: 3.730066
train mean center_loss: 2.666988
train mean class_consistency_loss: 1.460523
train mean consistency_loss: 8.163492
train mean detection_loss: 17.316395
train mean distillation_loss: 58.059149
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.000201
train mean neg_ratio: 14.827148
train mean obj_acc: 17.935672
train mean objectness_loss: 5.245757
train mean pos_ratio: 1.441406
train mean sem_cls_loss: 34.756334
train mean size_consistency_loss: 2.972902
train mean size_reg_loss: 5.075061
train mean supervised_loss: 273.611670
train mean vote_loss: 10.044772
 ---- batch: 040 ----
train mean box_loss: 8.566420
train mean center_consistency_loss: 7.415213
train mean center_loss: 2.765659
train mean class_consistency_loss: 1.585282
train mean consistency_loss: 12.442355
train mean detection_loss: 18.552792
train mean distillation_loss: 60.420260
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.000224
train mean neg_ratio: 14.629883
train mean obj_acc: 18.040198
train mean objectness_loss: 5.535232
train mean pos_ratio: 1.547852
train mean sem_cls_loss: 36.093781
train mean size_consistency_loss: 3.441861
train mean size_reg_loss: 5.800537
train mean supervised_loss: 289.710352
train mean vote_loss: 10.418243
 ---- batch: 060 ----
train mean box_loss: 7.924797
train mean center_consistency_loss: 6.990605
train mean center_loss: 2.637562
train mean class_consistency_loss: 1.565010
train mean consistency_loss: 11.860921
train mean detection_loss: 18.072892
train mean distillation_loss: 58.920731
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.000311
train mean neg_ratio: 14.502930
train mean obj_acc: 17.619035
train mean objectness_loss: 5.558438
train mean pos_ratio: 1.541016
train mean sem_cls_loss: 36.844376
train mean size_consistency_loss: 3.305306
train mean size_reg_loss: 5.286925
train mean supervised_loss: 282.900891
train mean vote_loss: 10.217198
 ---- batch: 080 ----
train mean box_loss: 7.565860
train mean center_consistency_loss: 7.901778
train mean center_loss: 2.591787
train mean class_consistency_loss: 1.429071
train mean consistency_loss: 12.580706
train mean detection_loss: 16.914309
train mean distillation_loss: 59.469053
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.000385
train mean neg_ratio: 14.810547
train mean obj_acc: 17.966746
train mean objectness_loss: 5.527271
train mean pos_ratio: 1.456055
train mean sem_cls_loss: 32.924068
train mean size_consistency_loss: 3.249856
train mean size_reg_loss: 4.973688
train mean supervised_loss: 275.430171
train mean vote_loss: 10.628708
 ---- batch: 100 ----
train mean box_loss: 8.268612
train mean center_consistency_loss: 5.312789
train mean center_loss: 2.778094
train mean class_consistency_loss: 1.463151
train mean consistency_loss: 9.934935
train mean detection_loss: 17.966202
train mean distillation_loss: 58.482345
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.000337
train mean neg_ratio: 14.672852
train mean obj_acc: 17.662644
train mean objectness_loss: 5.708350
train mean pos_ratio: 1.524414
train mean sem_cls_loss: 34.217073
train mean size_consistency_loss: 3.158995
train mean size_reg_loss: 5.490181
train mean supervised_loss: 284.718703
train mean vote_loss: 10.505669
 ---- batch: 120 ----
train mean box_loss: 8.323399
train mean center_consistency_loss: 4.327406
train mean center_loss: 2.529788
train mean class_consistency_loss: 1.443656
train mean consistency_loss: 8.993453
train mean detection_loss: 17.603557
train mean distillation_loss: 60.586994
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.000459
train mean neg_ratio: 14.538086
train mean obj_acc: 17.798156
train mean objectness_loss: 5.579618
train mean pos_ratio: 1.576172
train mean sem_cls_loss: 32.451747
train mean size_consistency_loss: 3.222392
train mean size_reg_loss: 5.793152
train mean supervised_loss: 284.015463
train mean vote_loss: 10.797989
 ---- batch: 140 ----
train mean box_loss: 8.053864
train mean center_consistency_loss: 3.981343
train mean center_loss: 2.430931
train mean class_consistency_loss: 1.413775
train mean consistency_loss: 8.276704
train mean detection_loss: 18.061986
train mean distillation_loss: 57.697825
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.000135
train mean neg_ratio: 14.370117
train mean obj_acc: 17.729736
train mean objectness_loss: 5.861382
train mean pos_ratio: 1.617188
train mean sem_cls_loss: 35.387156
train mean size_consistency_loss: 2.881586
train mean size_reg_loss: 5.622798
train mean supervised_loss: 277.809368
train mean vote_loss: 9.718950

**** EPOCH 004, STEP 588 ****
2024-09-03 21:08:51.265905
Current consistency weight: 0.233875
Current distillation weight: 0.023387
 ---- batch: 020 ----
train mean box_loss: 7.443344
train mean center_consistency_loss: 4.886480
train mean center_loss: 2.662708
train mean class_consistency_loss: 1.484222
train mean consistency_loss: 9.505138
train mean detection_loss: 15.860424
train mean distillation_loss: 58.802011
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.000439
train mean neg_ratio: 14.534180
train mean obj_acc: 18.103854
train mean objectness_loss: 5.299817
train mean pos_ratio: 1.499023
train mean sem_cls_loss: 28.835855
train mean size_consistency_loss: 3.134436
train mean size_reg_loss: 4.780197
train mean supervised_loss: 265.601604
train mean vote_loss: 10.699736
 ---- batch: 040 ----
train mean box_loss: 7.640518
train mean center_consistency_loss: 10.167118
train mean center_loss: 2.537168
train mean class_consistency_loss: 1.605879
train mean consistency_loss: 14.957968
train mean detection_loss: 16.622045
train mean distillation_loss: 59.138413
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.000372
train mean neg_ratio: 14.469727
train mean obj_acc: 17.698203
train mean objectness_loss: 5.383372
train mean pos_ratio: 1.581055
train mean sem_cls_loss: 31.449200
train mean size_consistency_loss: 3.184971
train mean size_reg_loss: 5.102978
train mean supervised_loss: 265.388274
train mean vote_loss: 9.916783
 ---- batch: 060 ----
train mean box_loss: 7.821046
train mean center_consistency_loss: 4.291594
train mean center_loss: 2.373400
train mean class_consistency_loss: 1.480147
train mean consistency_loss: 8.678503
train mean detection_loss: 15.623692
train mean distillation_loss: 59.033183
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.000384
train mean neg_ratio: 14.458984
train mean obj_acc: 18.100275
train mean objectness_loss: 5.082705
train mean pos_ratio: 1.595703
train mean sem_cls_loss: 26.306465
train mean size_consistency_loss: 2.906763
train mean size_reg_loss: 5.447263
train mean supervised_loss: 261.482553
train mean vote_loss: 10.524563
 ---- batch: 080 ----
train mean box_loss: 8.180900
train mean center_consistency_loss: 4.626206
train mean center_loss: 2.484241
train mean class_consistency_loss: 1.562655
train mean consistency_loss: 9.212128
train mean detection_loss: 16.867889
train mean distillation_loss: 56.456714
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.000337
train mean neg_ratio: 14.653320
train mean obj_acc: 17.802821
train mean objectness_loss: 5.349718
train mean pos_ratio: 1.522461
train mean sem_cls_loss: 30.060649
train mean size_consistency_loss: 3.023267
train mean size_reg_loss: 5.696322
train mean supervised_loss: 270.092550
train mean vote_loss: 10.141366
 ---- batch: 100 ----
train mean box_loss: 8.069447
train mean center_consistency_loss: 3.736803
train mean center_loss: 2.536650
train mean class_consistency_loss: 1.499642
train mean consistency_loss: 8.247110
train mean detection_loss: 17.333035
train mean distillation_loss: 58.133532
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.000154
train mean neg_ratio: 14.401367
train mean obj_acc: 17.961774
train mean objectness_loss: 5.395920
train mean pos_ratio: 1.597656
train mean sem_cls_loss: 32.828138
train mean size_consistency_loss: 3.010665
train mean size_reg_loss: 5.532643
train mean supervised_loss: 266.640890
train mean vote_loss: 9.331054
 ---- batch: 120 ----
train mean box_loss: 7.652448
train mean center_consistency_loss: 3.759270
train mean center_loss: 2.526299
train mean class_consistency_loss: 1.473339
train mean consistency_loss: 8.176531
train mean detection_loss: 17.962536
train mean distillation_loss: 58.679390
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.000125
train mean neg_ratio: 14.570312
train mean obj_acc: 17.815622
train mean objectness_loss: 5.443995
train mean pos_ratio: 1.540039
train mean sem_cls_loss: 37.940450
train mean size_consistency_loss: 2.943921
train mean size_reg_loss: 5.126023
train mean supervised_loss: 288.584437
train mean vote_loss: 10.895908
 ---- batch: 140 ----
train mean box_loss: 7.869712
train mean center_consistency_loss: 3.884210
train mean center_loss: 2.496348
train mean class_consistency_loss: 1.375042
train mean consistency_loss: 8.148723
train mean detection_loss: 17.096729
train mean distillation_loss: 57.914765
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.000155
train mean neg_ratio: 14.670898
train mean obj_acc: 18.009640
train mean objectness_loss: 5.258185
train mean pos_ratio: 1.559570
train mean sem_cls_loss: 32.989619
train mean size_consistency_loss: 2.889471
train mean size_reg_loss: 5.373210
train mean supervised_loss: 260.798833
train mean vote_loss: 8.983155

**** EPOCH 005, STEP 735 ****
2024-09-03 21:11:58.742153
Current consistency weight: 0.310480
Current distillation weight: 0.031048
 ---- batch: 020 ----
train mean box_loss: 8.650394
train mean center_consistency_loss: 4.900611
train mean center_loss: 2.693348
train mean class_consistency_loss: 1.432550
train mean consistency_loss: 9.327574
train mean detection_loss: 17.500101
train mean distillation_loss: 58.046104
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.000231
train mean neg_ratio: 14.951172
train mean obj_acc: 18.045026
train mean objectness_loss: 5.379649
train mean pos_ratio: 1.413086
train mean sem_cls_loss: 30.799410
train mean size_consistency_loss: 2.994413
train mean size_reg_loss: 5.956815
train mean supervised_loss: 286.408100
train mean vote_loss: 11.140709
 ---- batch: 040 ----
train mean box_loss: 7.356451
train mean center_consistency_loss: 4.389030
train mean center_loss: 2.382548
train mean class_consistency_loss: 1.387018
train mean consistency_loss: 8.850091
train mean detection_loss: 15.482398
train mean distillation_loss: 58.417339
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.000236
train mean neg_ratio: 14.673828
train mean obj_acc: 17.906179
train mean objectness_loss: 5.187587
train mean pos_ratio: 1.506836
train mean sem_cls_loss: 27.660766
train mean size_consistency_loss: 3.074043
train mean size_reg_loss: 4.973667
train mean supervised_loss: 251.677172
train mean vote_loss: 9.685319
 ---- batch: 060 ----
train mean box_loss: 8.880421
train mean center_consistency_loss: 3.871323
train mean center_loss: 2.611816
train mean class_consistency_loss: 1.352382
train mean consistency_loss: 8.160442
train mean detection_loss: 17.254640
train mean distillation_loss: 58.364394
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.000089
train mean neg_ratio: 14.846680
train mean obj_acc: 17.813058
train mean objectness_loss: 5.247408
train mean pos_ratio: 1.461914
train mean sem_cls_loss: 28.752578
train mean size_consistency_loss: 2.936736
train mean size_reg_loss: 6.268515
train mean supervised_loss: 270.617100
train mean vote_loss: 9.807070
 ---- batch: 080 ----
train mean box_loss: 7.701360
train mean center_consistency_loss: 2.847006
train mean center_loss: 2.418136
train mean class_consistency_loss: 1.379003
train mean consistency_loss: 7.271944
train mean detection_loss: 15.370103
train mean distillation_loss: 58.600146
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.000398
train mean neg_ratio: 14.532227
train mean obj_acc: 18.201923
train mean objectness_loss: 5.133869
train mean pos_ratio: 1.578125
train mean sem_cls_loss: 25.509039
train mean size_consistency_loss: 3.045935
train mean size_reg_loss: 5.282826
train mean supervised_loss: 253.803098
train mean vote_loss: 10.010207
 ---- batch: 100 ----
train mean box_loss: 7.325443
train mean center_consistency_loss: 2.635114
train mean center_loss: 2.601084
train mean class_consistency_loss: 1.243549
train mean consistency_loss: 6.590183
train mean detection_loss: 16.039515
train mean distillation_loss: 57.894624
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.000593
train mean neg_ratio: 14.129883
train mean obj_acc: 17.669221
train mean objectness_loss: 5.667329
train mean pos_ratio: 1.670898
train mean sem_cls_loss: 29.402039
train mean size_consistency_loss: 2.711520
train mean size_reg_loss: 4.723767
train mean supervised_loss: 263.459424
train mean vote_loss: 10.306427
 ---- batch: 120 ----
train mean box_loss: 7.302502
train mean center_consistency_loss: 4.178942
train mean center_loss: 2.488195
train mean class_consistency_loss: 1.348116
